"","Date","Short","Long","Spread","Short_koef","Long_koef","Spread_koef"
"651",2011-05-26,114.26,113.95,0.310000000000002,0.00887878893317318,0.013340009653362,-0.00446122072018884
"652",2011-05-27,115,114.67,0.329999999999998,0.00645557506693351,0.00629868235852005,0.000156892708413459
"653",2011-05-30,114.61,114.31,0.299999999999997,-0.00339706785464244,-0.00314438201252631,-0.000252685842116129
"654",2011-05-31,116.45,115.99,0.460000000000008,0.0159269358217422,0.0145899244560983,0.0013370113656439
"655",2011-06-01,115.67,115.32,0.350000000000009,-0.00672068702303985,-0.00579310772358355,-0.000927579299456305
"656",2011-06-02,115.34,115.15,0.189999999999998,-0.00285702112004316,-0.0014752465035075,-0.00138177461653566
"657",2011-06-03,115.19,114.86,0.329999999999998,-0.00130134924885184,-0.00252163083054402,0.00122028158169218
"658",2011-06-06,114.52,114.09,0.429999999999993,-0.00583345870850049,-0.00672638482787224,0.000892926119371751
"659",2011-06-07,115.85,115.49,0.359999999999999,0.0115467706484704,0.012196335518718,-0.000649564870247588
"660",2011-06-08,117.91,117.65,0.259999999999991,0.0176253707101965,0.0185301690463762,-0.000904798336179624
"661",2011-06-09,118.29,117.75,0.540000000000006,0.00321761496906436,0.00084961772315495,0.00236799724590941
"662",2011-06-10,118.4,117.88,0.52000000000001,0.000929485892259052,0.00110342497296667,-0.000173939080707619
"663",2011-06-14,120.16,119.36,0.799999999999997,0.0147554655659192,0.0124769785859575,0.00227848697996169
"664",2011-06-15,118.29,117.3,0.990000000000009,-0.0156849514581783,-0.0174093807960212,0.00172442933784289
"665",2011-06-16,117.22,113.8,3.42,-0.00908672550936274,-0.0302922339671996,0.0212055084578369
"666",2011-06-17,112.9,112.51,0.390000000000001,-0.0375500398926665,-0.0114004151092502,-0.0261496247834163
"667",2011-06-20,112.45,112.05,0.400000000000006,-0.00399379275029244,-0.00409690633604409,0.000103113585751657
"668",2011-06-21,112,111.38,0.620000000000005,-0.00400980711023013,-0.00599742208541354,0.0019876149751834
"669",2011-06-22,113.09,112.6,0.490000000000009,0.0096850905881416,0.0108939375440675,-0.00120884695592594
"670",2011-06-23,108.07,107.86,0.209999999999994,-0.0454047965681612,-0.0430076257965091,-0.00239717077165214
"671",2011-06-24,106.3,106.64,-0.340000000000003,-0.0165138799671727,-0.0113754140386275,-0.00513846592854517
"672",2011-06-27,105.45,105.48,-0.0300000000000011,-0.0080283784231181,-0.0109373143853677,0.00290893596224961
"673",2011-06-28,108.83,108.73,0.0999999999999943,0.0315501247831866,0.0303463835245728,0.00120374125861389
"674",2011-06-29,110.88,110.9,-0.0200000000000102,0.0186615037336226,0.019761149346663,-0.00109964561304032
"675",2011-06-30,112.11,112.39,-0.280000000000001,0.0110319967239088,0.0133460711738547,-0.00231407444994591
"676",2011-07-01,110.75,110.72,0.0300000000000011,-0.0122051232402569,-0.0149704736608172,0.00276535042056025
"677",2011-07-04,111.66,111.44,0.219999999999999,0.00818313095696954,0.00648183760219112,0.00170129335477842
"678",2011-07-05,112.87,112.42,0.450000000000003,0.0107781740853206,0.00875552810237856,0.002022645982942
"679",2011-07-06,112.91,112.57,0.340000000000003,0.000354327224895812,0.00133339279278388,-0.000979065567888071
"680",2011-07-07,117.42,116.89,0.530000000000001,0.0391662094436089,0.0376580712529666,0.00150813819064233
"681",2011-07-08,117.66,117.1,0.560000000000002,0.00204185880027019,0.00179494898399213,0.000246909816278063
"682",2011-07-11,115.86,114.93,0.929999999999993,-0.0154165437678317,-0.0187050232230037,0.00328847945517197
"683",2011-07-12,116.31,115.69,0.620000000000005,0.00387647468246932,0.00659095266012955,-0.00271447797766022
"684",2011-07-13,119.12,118.2,0.920000000000002,0.0238723480248062,0.0214639049312009,0.00240844309360533
"685",2011-07-14,118.56,117.35,1.21000000000001,-0.00471222682797734,-0.00721718267496563,0.00250495584698829
"686",2011-07-15,118.33,116.86,1.47,-0.001941830151309,-0.00418428517074165,0.00224245501943265
"687",2011-07-18,115.52,115.43,0.0899999999999892,-0.0240336562519516,-0.0123123514994701,-0.0117213047524816
"688",2011-07-19,117.89,117.65,0.239999999999995,0.0203083111595204,0.0190498295465513,0.00125848161296904
"689",2011-07-20,118.09,117.94,0.150000000000006,0.00169505930915381,0.00246190539898627,-0.000766846089832462
"690",2011-07-21,118.7,118.61,0.0900000000000034,0.00515225600243241,0.00566477946882582,-0.000512523466393411
"691",2011-07-22,118.03,117.92,0.109999999999999,-0.00566047217464494,-0.00583437160015787,0.000173899425512936
"692",2011-07-25,118.14,117.83,0.310000000000002,0.000931532438111837,-0.000763520715777233,0.00169505315388907
"693",2011-07-26,117.58,117.45,0.129999999999995,-0.00475140890498071,-0.00323019662032742,-0.00152121228465329
