Date;Sec;Open;Min;Max;Close;Deal;Volume;AV ETC
04.04.2017;GBPRUB_TOM;70,12;69,7725;70,45;69,7725;45;63766097,5;70,1497
05.04.2017;GBPRUB_TOM;69,67;69,4;70,4;70,4;61;134658515;69,699
06.04.2017;GBPRUB_TOM;70,49;70,1;70,685;70,175;43;41463412,5;70,3963
07.04.2017;GBPRUB_TOM;70,98;70,5;71,015;70,8325;95;188970800;70,8552
10.04.2017;GBPRUB_TOM;73,9;70,85;73,9;70,91;66;104217957,5;70,9932
11.04.2017;GBPRUB_TOM;70,8;70,475;71,355;71,165;68;120953232,5;70,8572
12.04.2017;GBPRUB_TOM;70,7675;70,7675;71,4;70,85;42;95885282,5;71,0261
13.04.2017;GBPRUB_TOM;71,0225;70,2925;71,1725;70,4175;61;331478147,5;71,0869
14.04.2017;GBPRUB_TOM;70,4;70,1575;70,56;70,55;47;49282740;70,4039
17.04.2017;GBPRUB_TOM;70,6025;70,2875;70,6425;70,4625;48;50870695;70,458
18.04.2017;GBPRUB_TOM;70,3925;70,2625;72,3175;72,1525;116;646830345;71,2525
19.04.2017;GBPRUB_TOM;72,035;71,82;72,5;72,35;81;138334960;72,1622
20.04.2017;GBPRUB_TOM;72,44;71,835;72,44;72,0725;51;117843247,5;72,1195
21.04.2017;GBPRUB_TOM;71,91;71,9025;72,34;72,29;51;35737287,5;72,051
24.04.2017;GBPRUB_TOM;71,855;71,3825;71,9075;71,3825;55;118386140;71,5324
25.04.2017;GBPRUB_TOM;71,51;71,45;72,205;72,05;43;80395275;71,6535
26.04.2017;GBPRUB_TOM;72,235;72,13;73,43;73,36;45;19098202,5;72,8939
27.04.2017;GBPRUB_TOM;73,52;73,185;73,8525;73,5075;60;101951877,5;73,5584
28.04.2017;GBPRUB_TOM;73,5;73,3;73,92;73,68;65;45023892,5;73,5685
02.05.2017;GBPRUB_TOM;73,325;73,2725;73,935;73,8;60;54483235;73,626
03.05.2017;GBPRUB_TOM;73,7525;73,705;74,0375;73,8325;48;75550885;73,9245
